epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1548.78,0.79928,0.59345,1.18012,0.95319,0.93286,0.97552,0.84288,0.53964,0.33809,0.92786,0.0099987,0.0033329,0.0099987,0.0033329,0.0099987,0.0033329,0.0099987,0.0033329
2,2712.45,0.80698,0.59812,1.18306,0.9531,0.93184,0.97242,0.84139,0.54484,0.33931,0.93541,0.0195037,0.00650124,0.0195037,0.00650124,0.0195037,0.00650124,0.0195037,0.00650124
3,3876.49,0.88336,0.68664,1.23359,0.95396,0.93025,0.9712,0.83255,0.5632,0.34857,0.95585,0.0285138,0.00950459,0.0285138,0.00950459,0.0285138,0.00950459,0.0285138,0.00950459
4,4921.55,0.89697,0.7056,1.24492,0.95138,0.92905,0.97088,0.83211,0.56631,0.35243,0.96024,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,5970.11,0.88116,0.68553,1.23401,0.95304,0.92636,0.97111,0.8326,0.56561,0.35165,0.95915,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,7006.62,0.87067,0.67094,1.22635,0.95219,0.92846,0.97138,0.83309,0.56575,0.35246,0.95894,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,8046.6,0.86245,0.6617,1.22018,0.95409,0.9267,0.97133,0.8333,0.56469,0.35147,0.95775,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,9085.47,0.85606,0.65459,1.21776,0.95441,0.92791,0.97152,0.8347,0.562,0.34975,0.95559,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,10125.1,0.85202,0.64913,1.21701,0.95319,0.92944,0.97172,0.83551,0.55911,0.34819,0.95342,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,11164.6,0.84676,0.64318,1.21147,0.95296,0.92986,0.97178,0.83589,0.55667,0.34648,0.9509,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,12063,0.84356,0.63899,1.21025,0.95296,0.93093,0.972,0.83691,0.55498,0.34463,0.94921,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
