epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,907.828,0.84393,0.8617,1.21071,0.92078,0.88401,0.95114,0.75583,0.71141,0.53997,1.09221,0.00999667,0.00333222,0.00999667,0.00333222,0.00999667,0.00333222,0.00999667,0.00333222
2,1773.72,0.86412,0.66025,1.21513,0.9173,0.86846,0.94176,0.74239,0.72306,0.54348,1.11649,0.0195017,0.00650058,0.0195017,0.00650058,0.0195017,0.00650058,0.0195017,0.00650058
3,2589.43,0.89517,0.68371,1.23537,0.92756,0.90465,0.95724,0.77724,0.67644,0.46295,1.06522,0.0285118,0.00950394,0.0285118,0.00950394,0.0285118,0.00950394,0.0285118,0.00950394
4,3450.2,0.86592,0.6443,1.21335,0.94383,0.91923,0.96544,0.80588,0.61824,0.40279,1.01028,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,4344.47,0.82227,0.59768,1.18106,0.94828,0.92281,0.9673,0.81582,0.59768,0.38218,0.98914,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,5245.37,0.80231,0.57264,1.16649,0.94856,0.92555,0.9685,0.82133,0.58661,0.37138,0.97872,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,6147.09,0.78888,0.55838,1.15808,0.95052,0.92504,0.96909,0.82366,0.58268,0.36631,0.97449,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,7038.09,0.78214,0.55082,1.15245,0.95201,0.92424,0.9694,0.82575,0.57928,0.36391,0.9707,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,7928.47,0.77473,0.54226,1.14812,0.9514,0.92613,0.96987,0.82764,0.57532,0.36146,0.96713,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,8828.31,0.76837,0.53418,1.14274,0.95161,0.9262,0.97017,0.82914,0.57142,0.35882,0.96372,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,9723.05,0.76348,0.52931,1.13873,0.95315,0.92595,0.97046,0.83033,0.56733,0.35543,0.95966,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,10621.3,0.75916,0.52409,1.13655,0.95289,0.92834,0.97087,0.83223,0.56373,0.35245,0.95636,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,11520.3,0.75656,0.51935,1.13429,0.95261,0.93029,0.97114,0.83365,0.5614,0.34943,0.95391,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,12414.6,0.75272,0.51621,1.13267,0.95198,0.9321,0.97137,0.83469,0.55785,0.3462,0.95069,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,13314.7,0.74914,0.51184,1.13004,0.9533,0.93266,0.97151,0.8361,0.55515,0.34362,0.94857,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,14212.3,0.74593,0.50818,1.12761,0.95363,0.93257,0.97184,0.83701,0.55309,0.34185,0.94654,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,15104.6,0.74238,0.50536,1.12578,0.95387,0.93151,0.97201,0.83825,0.55138,0.34054,0.94489,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,15996.9,0.73867,0.50011,1.12236,0.95428,0.93221,0.97233,0.84002,0.54902,0.33798,0.94314,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,16890.5,0.73504,0.49601,1.12081,0.95401,0.93367,0.97256,0.84089,0.5469,0.33544,0.94122,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,17788.6,0.73179,0.49353,1.11787,0.95209,0.93588,0.9728,0.84136,0.54547,0.33301,0.93968,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,18680.6,0.72788,0.48894,1.11589,0.95574,0.93333,0.97288,0.84218,0.54306,0.33139,0.93747,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,19577,0.72573,0.48606,1.11465,0.95581,0.93478,0.97309,0.84338,0.5415,0.32969,0.93572,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,20437.4,0.72217,0.48078,1.11182,0.95525,0.93491,0.97335,0.84386,0.53995,0.32731,0.9342,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,21287.8,0.71707,0.47558,1.10804,0.95274,0.93777,0.9734,0.84444,0.53865,0.32612,0.93262,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,22184.9,0.71436,0.47208,1.10667,0.95454,0.93596,0.97351,0.84575,0.53627,0.32465,0.93016,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,23085,0.71153,0.46909,1.10502,0.9542,0.93632,0.97367,0.84602,0.53554,0.32339,0.92947,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,23980.4,0.70699,0.46562,1.10373,0.95466,0.93677,0.97392,0.84712,0.53406,0.32192,0.92733,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,24877.6,0.70157,0.459,1.09962,0.95462,0.9373,0.97409,0.84836,0.53179,0.31987,0.92471,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,25778.1,0.70058,0.4565,1.09916,0.95495,0.93811,0.97434,0.84939,0.53025,0.31872,0.92316,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,26689.1,0.69287,0.45082,1.09492,0.95565,0.93888,0.97445,0.85054,0.52903,0.31784,0.92163,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,27615.3,0.63692,0.36569,1.06459,0.95645,0.93947,0.97473,0.85216,0.52727,0.31597,0.91974,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,28504.4,0.62695,0.35643,1.05666,0.9581,0.93825,0.97474,0.85283,0.52533,0.31355,0.91772,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,29399.2,0.61834,0.34765,1.05036,0.95658,0.93978,0.975,0.85446,0.52266,0.31198,0.91509,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,30294.7,0.60991,0.33874,1.04393,0.95896,0.93763,0.97507,0.85547,0.51994,0.31049,0.91264,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,31191.7,0.60237,0.33096,1.03856,0.95842,0.9376,0.97528,0.85635,0.51707,0.30821,0.91012,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,32084.5,0.59396,0.32199,1.03524,0.95859,0.93886,0.97546,0.8568,0.5151,0.307,0.90862,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,32970,0.58488,0.31214,1.02671,0.9567,0.9396,0.97559,0.85722,0.51271,0.3056,0.90592,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,33860.2,0.57715,0.30407,1.02155,0.9577,0.93968,0.97566,0.85784,0.51057,0.30366,0.90392,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
