epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,201.372,0.95077,1.39913,1.3135,0.87248,0.82731,0.90012,0.64915,0.85169,0.82863,1.19929,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099
2,372.945,0.9432,0.85205,1.26942,0.66665,0.67316,0.70376,0.42881,1.23426,1.28993,1.54074,0.0194689,0.00648963,0.0194689,0.00648963,0.0194689,0.00648963,0.0194689,0.00648963
3,540.593,1.07341,0.93993,1.3685,0.51489,0.59286,0.53381,0.29682,1.44429,2.66287,1.92277,0.0284798,0.00949327,0.0284798,0.00949327,0.0284798,0.00949327,0.0284798,0.00949327
4,711.3,1.10824,0.96161,1.4043,0.73656,0.66676,0.7305,0.44476,1.23449,1.37015,1.62099,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,881.106,1.04268,0.86537,1.34997,0.84775,0.7995,0.88751,0.60774,0.99297,0.79334,1.34555,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,1048.97,0.99353,0.80365,1.31445,0.8398,0.83062,0.88488,0.60155,0.99842,0.78221,1.33266,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,1217.58,0.95593,0.75518,1.28355,0.88866,0.84741,0.9242,0.66223,0.93122,0.65768,1.28485,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,1383.66,0.93439,0.73069,1.26715,0.88029,0.81097,0.90329,0.65053,0.90701,0.70808,1.26944,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,1550.54,0.91122,0.70071,1.24988,0.89089,0.85413,0.92464,0.67267,0.87976,0.63541,1.23645,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,1722.46,0.89188,0.67801,1.23843,0.90294,0.85803,0.93108,0.69652,0.84963,0.60187,1.19674,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,1889.77,0.87392,0.65573,1.2246,0.90677,0.87162,0.94107,0.70987,0.81683,0.5716,1.17073,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,2055.81,0.85475,0.63766,1.20815,0.92101,0.88369,0.9484,0.73104,0.784,0.52482,1.14293,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,2225.68,0.84793,0.62474,1.20457,0.92062,0.88632,0.95162,0.73246,0.78406,0.52725,1.13788,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,2394.39,0.83524,0.61217,1.19538,0.92349,0.88259,0.94809,0.73806,0.76025,0.52822,1.12132,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,2563.29,0.81865,0.59517,1.17998,0.9252,0.89634,0.95483,0.74247,0.76944,0.50065,1.12011,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,2733.62,0.81484,0.58313,1.17825,0.92753,0.90334,0.95597,0.75441,0.74302,0.47582,1.10336,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,2901.14,0.80588,0.57368,1.1698,0.93013,0.89042,0.95553,0.74922,0.74289,0.50946,1.09803,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,3067.68,0.79489,0.56693,1.16561,0.92574,0.90272,0.95556,0.75755,0.72419,0.46606,1.09471,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,3238.06,0.78848,0.55537,1.15968,0.93459,0.90295,0.9608,0.76264,0.72215,0.45978,1.08857,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,3405.83,0.77615,0.54667,1.15097,0.93473,0.91212,0.96267,0.76344,0.72395,0.45071,1.08309,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,3581.41,0.77211,0.53827,1.15082,0.93353,0.90943,0.96298,0.77037,0.70867,0.45053,1.07706,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,3764.59,0.76342,0.5271,1.1456,0.93135,0.91496,0.96045,0.77137,0.70752,0.43539,1.07867,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,3949.45,0.75552,0.5173,1.13847,0.9358,0.91473,0.96061,0.77241,0.70117,0.43546,1.06893,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,4125.29,0.74878,0.51038,1.13225,0.93738,0.91599,0.96594,0.77857,0.69416,0.43063,1.06097,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,4301.57,0.73877,0.50071,1.12478,0.93417,0.91831,0.96505,0.77711,0.69239,0.42755,1.06407,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,4469.26,0.73692,0.49585,1.1266,0.9378,0.91873,0.96192,0.77692,0.69636,0.41893,1.06852,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,4636.4,0.72672,0.48839,1.1205,0.94033,0.91951,0.96291,0.77935,0.68598,0.41253,1.05775,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,4807.37,0.72021,0.48055,1.11388,0.94131,0.91751,0.96344,0.78391,0.67421,0.40948,1.05122,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,4974.85,0.71475,0.47413,1.11148,0.94133,0.92029,0.9636,0.78426,0.67465,0.40575,1.05337,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,5143.76,0.70653,0.46687,1.10682,0.94107,0.9206,0.96433,0.78602,0.67228,0.40265,1.04738,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
